"ITTER107","Territorio","TIPO_DATO_CENERG","Tipo dato","DOTAZIONI_A","Fonte alimentazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC","Nord-ovest","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",602165,,
"ITC","Nord-ovest","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",392641,,
"ITC","Nord-ovest","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",3834136,,
"ITC","Nord-ovest","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",7951588,,
"ITC","Nord-ovest","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",1478,,
"ITC","Nord-ovest","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",558,,
"ITC","Nord-ovest","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",526,,
"ITC","Nord-ovest","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",1190,,
"ITC","Nord-ovest","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",409,,
"ITC","Nord-ovest","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",458,,
"ITC1","Piemonte","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",3724781,,
"ITC1","Piemonte","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",202441,,
"ITC1","Piemonte","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",193864,,
"ITC1","Piemonte","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",1037748,,
"ITC1","Piemonte","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",2144882,,
"ITC1","Piemonte","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",1537,,
"ITC1","Piemonte","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",651,,
"ITC1","Piemonte","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",513,,
"ITC1","Piemonte","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",1215,,
"ITC1","Piemonte","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",452,,
"ITC1","Piemonte","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",514,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",127899,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",37226,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",20345,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",33427,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",26470,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",1616,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",523,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",545,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",1072,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",665,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",514,,
"ITC3","Liguria","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",1200124,,
"ITC3","Liguria","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",55576,,
"ITC3","Liguria","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",58680,,
"ITC3","Liguria","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",364063,,
"ITC3","Liguria","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",682408,,
"ITC3","Liguria","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",998,,
"ITC3","Liguria","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",510,,
"ITC3","Liguria","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",461,,
"ITC3","Liguria","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",989,,
"ITC3","Liguria","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",501,,
"ITC3","Liguria","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",624,,
"ITC4","Lombardia","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",8107385,,
"ITC4","Lombardia","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",306923,,
"ITC4","Lombardia","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",119751,,
"ITC4","Lombardia","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",2398897,,
"ITC4","Lombardia","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",5097828,,
"ITC4","Lombardia","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",1558,,
"ITC4","Lombardia","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",474,,
"ITC4","Lombardia","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",544,,
"ITC4","Lombardia","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",1212,,
"ITC4","Lombardia","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",354,,
"ITC4","Lombardia","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",408,,
"ITD","Nord-est","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",9561397,,
"ITD","Nord-est","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",519916,,
"ITD","Nord-est","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",462319,,
"ITD","Nord-est","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",3002594,,
"ITD","Nord-est","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",5145821,,
"ITD","Nord-est","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",1739,,
"ITD","Nord-est","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",688,,
"ITD","Nord-est","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",593,,
"ITD","Nord-est","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",1167,,
"ITD","Nord-est","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",423,,
"ITD","Nord-est","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",486,,
"ITDA","Trentino Alto Adige / Südtirol","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",762760,,
"ITDA","Trentino Alto Adige / Südtirol","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",141308,,
"ITDA","Trentino Alto Adige / Südtirol","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",37679,,
"ITDA","Trentino Alto Adige / Südtirol","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",235349,,
"ITDA","Trentino Alto Adige / Südtirol","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",293753,,
"ITDA","Trentino Alto Adige / Südtirol","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",1538,,
"ITDA","Trentino Alto Adige / Südtirol","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",340,,
"ITDA","Trentino Alto Adige / Südtirol","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",533,,
"ITDA","Trentino Alto Adige / Südtirol","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",1075,,
"ITDA","Trentino Alto Adige / Südtirol","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",413,,
"ITDA","Trentino Alto Adige / Südtirol","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",511,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",346754,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",72564,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",11236,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",117543,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",114733,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",1534,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",245,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",556,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",1049,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",391,,
"ITD1","Provincia Autonoma Bolzano / Bozen","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",578,,
"ITD2","Provincia Autonoma Trento","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",416007,,
"ITD2","Provincia Autonoma Trento","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",68744,,
"ITD2","Provincia Autonoma Trento","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",26443,,
"ITD2","Provincia Autonoma Trento","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",117806,,
"ITD2","Provincia Autonoma Trento","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",179020,,
"ITD2","Provincia Autonoma Trento","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",1543,,
"ITD2","Provincia Autonoma Trento","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",408,,
"ITD2","Provincia Autonoma Trento","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",513,,
"ITD2","Provincia Autonoma Trento","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",1092,,
"ITD2","Provincia Autonoma Trento","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",443,,
"ITD2","Provincia Autonoma Trento","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",436,,
"ITD3","Veneto","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",3954097,,
"ITD3","Veneto","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",250645,,
"ITD3","Veneto","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",215412,,
"ITD3","Veneto","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",1284108,,
"ITD3","Veneto","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",1988115,,
"ITD3","Veneto","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",1750,,
"ITD3","Veneto","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",721,,
"ITD3","Veneto","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",624,,
"ITD3","Veneto","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",1104,,
"ITD3","Veneto","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",435,,
"ITD3","Veneto","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",524,,
"ITD4","Friuli-Venezia Giulia","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",1010154,,
"ITD4","Friuli-Venezia Giulia","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",78649,,
"ITD4","Friuli-Venezia Giulia","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",56579,,
"ITD4","Friuli-Venezia Giulia","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",297576,,
"ITD4","Friuli-Venezia Giulia","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",508491,,
"ITD4","Friuli-Venezia Giulia","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",1934,,
"ITD4","Friuli-Venezia Giulia","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",543,,
"ITD4","Friuli-Venezia Giulia","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",529,,
"ITD4","Friuli-Venezia Giulia","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",1066,,
"ITD4","Friuli-Venezia Giulia","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",454,,
"ITD4","Friuli-Venezia Giulia","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",434,,
"ITD5","Emilia-Romagna","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",3834384,,
"ITD5","Emilia-Romagna","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",49314,,
"ITD5","Emilia-Romagna","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",152649,,
"ITD5","Emilia-Romagna","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",1185561,,
"ITD5","Emilia-Romagna","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",2355461,,
"ITD5","Emilia-Romagna","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",2122,,
"ITD5","Emilia-Romagna","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",966,,
"ITD5","Emilia-Romagna","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",593,,
"ITD5","Emilia-Romagna","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",1268,,
"ITD5","Emilia-Romagna","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",381,,
"ITD5","Emilia-Romagna","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",435,,
"ITE","Centro","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",8173318,,
"ITE","Centro","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",270070,,
"ITE","Centro","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",484398,,
"ITE","Centro","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",3010721,,
"ITE","Centro","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",3958511,,
"ITE","Centro","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",1280,,
"ITE","Centro","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",546,,
"ITE","Centro","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","ELECTR","energia elettrica","2013","2013",565,,
"ITE","Centro","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","METAN","metano","2013","2013",870,,
"ITE","Centro","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","FIREWOOD","legna","2013","2013",397,,
"ITE","Centro","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","PELLETS","pellets","2013","2013",419,,
"ITE1","Toscana","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ALL","tutte le voci","2013","2013",2768507,,
"ITE1","Toscana","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","H_OIL","gasolio","2013","2013",127180,,
"ITE1","Toscana","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","LPG","Gpl (Gas Petrolio Liquefatto)","2013","2013",135410,,
"ITE1","Toscana","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","ELECTR","energia elettrica","2013","2013",954410,,
"ITE1","Toscana","ENER_SOUR_EXP","spese delle famiglie per consumi energetici per fonte (migliaia di euro)","METAN","metano","2013","2013",1394350,,
"ITE1","Toscana","ENER_SOUR_EXP_AV","spesa media effettiva delle famiglie per consumi energetici per fonte (euro)","H_OIL","gasolio","2013","2013",1608,,
